name,road_address,latitude,longitude,toilet_type,open_time_type
약수역(3) 화장실,서울특별시 중구 다산로 지하 122,37.569744,127.046945,공중화장실,정시
응봉근린공원(관리실 옆),,37.550425,127.013402,공중화장실,상시
묵정어린이공원,서울특별시 중구 퇴계로45길 32-12,37.563781,126.999801,공중화장실,상시
명동역지하상가,서울특별시 중구 퇴계로 지하124,37.56109433,126.9852911,공중화장실,상시
충정녹지대,,37.556875,126.964401,공중화장실,상시
광희동 공중화장실,서울특별시 중구 마른내로 166,37.564307,127.006391,공중화장실,상시
회현역(4),서울특별시 중구 퇴계로 지하 54,37.534394,126.973014,공중화장실,정시
남산예장공영주차장 화장실,서울특별시 중구 퇴계로26길 36(예장동),37.56003451,126.9887049,개방화장실,정시
서울역(1) 화장실,서울특별시 중구 세종대로 지하 2,37.556878,126.972578,공중화장실,정시
청구역 공중화장실,서울특별시 중구 청구로 82(신당동),37.560813,127.013293,공중화장실,상시
을지로입구역(2) 화장실,서울특별시 중구 을지로 지하 42,37.56627899,126.9820007,공중화장실,정시
1호터널,서울특별시 중구 남산공원길 507,37.55208792,126.9880865,공중화장실,상시
청구역(6) 화장실,서울특별시 중구 청구로 지하 77,37.557424,127.009814,공중화장실,정시
을지4구역A 지하상가,서울특별시 중구 을지로 지하218,37.5669913,127.0033663,공중화장실,정시
새싹마을마당,서울특별시 중구 동호로12길 97,37.559554,127.012039,공중화장실,상시
시청역(1) 화장실,서울특별시 중구 세종대로 지하 101,37.56581805,126.9768166,공중화장실,정시
서울특별시 중부수도사업소,서울특별시 중구 장충단로 88,37.55353828,127.0029341,개방화장실,정시
소공지하상가C,서울특별시 중구 소공로 지하102,37.56394935,126.9812604,공중화장실,정시
호현당화장실,서울특별시 중구 소파로 46,37.5546634,126.98129,공중화장실,상시
충무로역(4) 화장실,서울특별시 중구 퇴계로 지하 199,37.56138871,126.994398,공중화장실,정시
동대입구역(3) 화장실,서울특별시 중구 동호로 지하 256,37.55949023,127.0052965,공중화장실,정시
훈련원공원주차장 지하 2층 동측,"서울특별시 중구 을지로 227, 훈련원공원 (을지로5가)",37.56682939,127.0028191,개방화장실,상시
청계5가 지하상가,서울특별시 중구 동호로 지하384,37.56917199,127.002089,공중화장실,상시
남산골한옥마을 정문화장실,서울특별시 중구 퇴계로 34길 28,37.55905141,126.9940405,개방화장실,상시
서울시청 본관 B1층 시민청 외부,서울특별시 중구 세종대로 110,37.56660929,126.9777261,개방화장실,정시
남대문지하상가,서울특별시 중구 남대문로 지하14,37.5611952,126.9779351,공중화장실,정시
장충단공원,서울특별시 중구 동호로 257-10,37.55857572,127.0038459,공중화장실,상시
정동근린공원,서울특별시 중구 정동길 21-18,37.568049,126.971562,공중화장실,상시
동대문역사문화공원역(4),"서울특별시 중구 장충단로 지하230, 동대문역사문화공원역 4호선 (광희동2가)",37.56514371,127.0079152,공중화장실,정시
신당2호 공중화장실,서울특별시 중구 다산로31길 7-5,37.561378,127.013799,공중화장실,상시
장충동주민센터,서울특별시 중구 장충단로8길 22,37.5619,127.0078685,개방화장실,정시
필동주민센터,서울특별시 중구 퇴계로36길 42,37.560128,126.995555,개방화장실,정시
을지4구역B 지하상가,서울특별시 중구 을지로 지하218,37.5669913,127.0033663,공중화장실,정시
신당A 지하상가,서울특별시 중구 마장로 87,37.56870219,127.0193546,공중화장실,정시
서울중앙우체국(포스트타워),서울특별시 중구 소공로 70,37.561365,126.982237,개방화장실,상시
서울시청 서소문청사 1층 로비,서울특별시 중구 덕수궁길 15,37.56448399,126.9747186,개방화장실,정시
회현지하상가,서울특별시 중구 소공로 지하58,37.56068691,126.9826395,공중화장실,정시
다산어린이공원,,37.563882,127.018751,공중화장실,상시
시립미술관 서소문본관,서울특별시 중구 덕수궁길 61,37.56443341,126.9746692,개방화장실,정시
버티고개역(6) 화장실,서울특별시 중구 다산로 지하 38,37.547892,127.004934,공중화장실,정시
장충체육회,,37.55464639,126.9997699,개방화장실,상시
신당역(2) 화장실,서울특별시 중구 퇴계로 지하 431-1,37.56555342,127.0166717,공중화장실,정시
동대문역사문화공원역(2) 화장실,서울특별시 중구 을지로 지하 279,37.5659558,127.0084956,공중화장실,정시
약수역(6) 화장실,서울특별시 중구 다산로 지하 115,37.553465,127.009158,공중화장실,정시
시청역(2)(지하2층) 화장실,서울특별시 중구 서소문로 127,37.56372688,126.9754385,개방화장실,정시
시청역(2)(지하1층) 화장실,서울특별시 중구 서소문로 127,37.56372688,126.9754385,개방화장실,정시
을지로3가역(2) 화장실,서울특별시 중구 을지로 지하 106,37.56638258,126.9902132,공중화장실,정시
남대문시장 공중화장실,서울특별시 중구 남대문시장4길 28-16,37.559406,126.976208,공중화장실,상시
잠두체육회화장실,서울특별시 중구 남산공원길 649,37.55497832,126.9812796,개방화장실,상시
남산골한옥마을 중앙화장실,서울특별시 중구 퇴계로 34길 28,37.55905141,126.9940405,개방화장실,정시
황학동 공중화장실,서울특별시 중구 다산로48길 33,37.567543,127.018122,공중화장실,상시
응봉근린공원(동산초교위),"서울특별시 중구 매봉18길 95, 응봉근린공원 화장실(동산초교 위) (신당동)",37.555043,127.016869,공중화장실,상시
훈련원공원주차장 지하 1층 동측,서울특별시 중구 을지로 227,37.56674851,127.0030304,개방화장실,상시
동대문역사문화공원역(5) 화장실,서울특별시 중구 마른내로 지하 162,37.565102,127.005576,개방화장실,정시
을지3구역 지하상가,서울특별시 중구 을지로 지하131,37.56668421,126.994217,공중화장실,정시
팔각정 입구,서울특별시 중구 남산공원길 507,37.55211344,126.9881079,공중화장실,상시
훈련원공원주차장 지하 1층 중앙,서울특별시 중구 을지로 227,37.5673882,127.0027711,개방화장실,상시
을지로4가역(2) 화장실,서울특별시 중구 을지로 지하 178,37.56671839,126.9965495,공중화장실,정시
신당B 지하상가,서울특별시 중구 마장로 87,37.56870219,127.0193546,공중화장실,정시
신당C 지하상가,서울특별시 중구 마장로 87,37.56870219,127.0193546,공중화장실,정시
훈련원공원주차장 지하 2층 중앙,"서울특별시 중구 을지로 227, 훈련원공원 (을지로5가)",37.56751939,127.0037221,개방화장실,상시
을지로4가역(5) 화장실,서울특별시 중구 창경궁로 지하 51,37.56637129,126.9984921,공중화장실,정시
장충체육관A,서울특별시 중구 동호로 241,37.55837612,127.0065825,개방화장실,상시
명동역(4),서울특별시 중구 퇴계로 지하 126,37.56105181,126.9853662,공중화장실,정시
목멱산방화장실,서울특별시 중구 남산공원길 507,37.55213045,126.9880328,공중화장실,상시
서소문역사공원,서울특별시 중구 칠패로 5,37.560928,126.969684,공중화장실,상시
시청B 지하상가,"서울특별시 중구 을지로 지하12, 시청광장지하쇼핑센터 (을지로1가)",37.5660547,126.9787859,공중화장실,정시
봉래초등학교,"서울특별시 중구 손기정로 73, 봉래초등학교 (만리동2가)",37.556178,126.9637888,공중화장실,상시
시청A 지하상가,서울특별시 중구 을지로 지하12,37.5660547,126.9787859,공중화장실,정시
신당1호 공중화장실,서울특별시 중구 다산로33다길 25,37.563969,127.013366,공중화장실,상시
신당역(6) 화장실,서울특별시 중구 다산로 지하 260,37.56775508,127.0161011,공중화장실,정시
이촌로 공중화장실,서울특별시 용산구 이촌로 121-1,37.52306544,126.9612119,공중화장실,
철길담장 옆 공중화장실,서울특별시 용산구 한강로2가 2-341,37.531676,126.968679,공중화장실,
신계동 공중화장실,서울특별시 용산구 한강로3가 2-1,37.533821,126.963396,공중화장실,
이태원1 공중화장실,서울특별시 용산구 녹사평대로40길 56,37.53431939,126.988845,공중화장실,
이태원3 공중화장실,서울특별시 용산구 이태원로164-1,37.53407459,126.992243,공중화장실,
이태원2 공중화장실,서울특별시 용산구 소월로38가길 8,37.54312768,126.990189,공중화장실,
후암4 공중화장실,서울특별시 용산구 한강대로104길 77,37.55042378,126.976134,공중화장실,
성동구립성수도서관(성수문화복지회관),"서울특별시 성동구 뚝섬로1길 43, 성수문화복지회관(성수동1가)",37.545368,127.047063,개방화장실,정시
마장축산물 한전뒤,서울특별시 성동구 마장동 494,37.5686,127.0391,개방화장실,상시
